price_range,brand,product_name,model_id,launch_year,selling_price,original_price,discount_percent,rating_value,rating_count,review_count,product_url
0-14999,Thomson,Thomson Alpha 60 cm (24 Inch) HD Ready LED Smart Linux TV with 20 W Sound Output,24Alpha001Launch,2023,4499,9999,55% off,4.3,350520,6378,https://www.flipkart.com/thomson-alpha-60-cm-24-inch-hd-ready-led-smart-linux-tv-20-w-sound-output/p/itm8e1f318f88ccc?pid=TVSGMGWWZYMMPG83&lid=LSTTVSGMGWWZYMMPG83APKNG2&marketplace=FLIPKART&q=tv&store=ckf%2Fczl&srno=s_1_1&otracker=search&otracker1=search&fm=organic&iid=56bf352f-d2cd-4c29-8823-a7a9b0c786c9.TVSGMGWWZYMMPG83.SEARCH&ppt=None&ppn=None&ssid=mjfwq0p7wg0000001766485265967&qH=c9a1fdac6e082dd8
0-14999,InnoQ,InnoQ Sounbar 60 cm (24 inch) HD Ready LED TV with 30W Front Boom Speakers | Monitor Support | Noise R...,24N-MAX-V2Launch,2024,4990,19990,75% off,4,411853,1207,https://www.flipkart.com/innoq-sounbar-60-cm-24-inch-hd-ready-led-tv-30w-front-boom-speakers-monitor-support-noise-reduction-pixel-boost-engine-colour-enhancer/p/itm51254672bc1aa?pid=TVSH6QJYZMFHGF9U&lid=LSTTVSH6QJYZMFHGF9UIXY7Q7&marketplace=FLIPKART&q=tv&store=ckf%2Fczl&srno=s_1_2&otracker=search&otracker1=search&fm=organic&iid=56bf352f-d2cd-4c29-8823-a7a9b0c786c9.TVSH6QJYZMFHGF9U.SEARCH&ppt=None&ppn=None&ssid=mjfwq0p7wg0000001766485265967&qH=c9a1fdac6e082dd8
0-14999,Foxsky,Foxsky 60 cm (24 inch) HD Ready LED TV,24FSNLaunch,2023,4999,12999,61% off,4,45125,623,https://www.flipkart.com/foxsky-60-cm-24-inch-hd-ready-led-tv/p/itmd25700250501c?pid=TVSGEMUBFEF4DD6C&lid=LSTTVSGEMUBFEF4DD6C5DTHCH&marketplace=FLIPKART&q=tv&store=ckf%2Fczl&srno=s_1_3&otracker=search&otracker1=search&fm=organic&iid=56bf352f-d2cd-4c29-8823-a7a9b0c786c9.TVSGEMUBFEF4DD6C.SEARCH&ppt=None&ppn=None&ssid=mjfwq0p7wg0000001766485265967&qH=c9a1fdac6e082dd8
0-14999,MarQ,MarQ by Flipkart 60 cm (24 inch) HD Ready LED TV,24HDNDQEETBLaunch,2024,4999,15000,66% off,4.1,110732,800,https://www.flipkart.com/marq-flipkart-60-cm-24-inch-hd-ready-led-tv/p/itm1d8dfccd459d1?pid=TVSH2KYNDMV3XUQ2&lid=LSTTVSH2KYNDMV3XUQ2NDELTL&marketplace=FLIPKART&q=tv&store=ckf%2Fczl&srno=s_1_4&otracker=search&otracker1=search&fm=organic&iid=56bf352f-d2cd-4c29-8823-a7a9b0c786c9.TVSH2KYNDMV3XUQ2.SEARCH&ppt=None&ppn=None&ssid=mjfwq0p7wg0000001766485265967&qH=c9a1fdac6e082dd8
0-14999,Uniboom,Uniboom Astra 60 cm (24 inch) HD Ready LED TV 2025 Edition with Firing Boom Speakers | Frameless | Aur...,24N-ULT-AEDLaunch,2025,4999,19990,74% off,4,4137,17,https://www.flipkart.com/uniboom-astra-60-cm-24-inch-hd-ready-led-tv-2025-firing-boom-speakers-frameless-aura-vision-display-monitor-support-dual-usb/p/itm77751435c6378?pid=TVSHEPF64DHKSGNX&lid=LSTTVSHEPF64DHKSGNXJKQRDN&marketplace=FLIPKART&q=tv&store=ckf%2Fczl&srno=s_1_5&otracker=search&otracker1=search&fm=organic&iid=56bf352f-d2cd-4c29-8823-a7a9b0c786c9.TVSHEPF64DHKSGNX.SEARCH&ppt=None&ppn=None&ssid=mjfwq0p7wg0000001766485265967&qH=c9a1fdac6e082dd8
0-14999,Uniboom,Uniboom ULTIMA 60 cm (24 inch) HD Ready LED TV 2025 Edition with 30W Sounbar Edition - Aura Vision+ Di...,24N-ULTIMALaunch,2025,5090,19990,74% off,4,44029,430,https://www.flipkart.com/uniboom-ultima-60-cm-24-inch-hd-ready-led-tv-2025-30w-sounbar-aura-vision-display-monitor-support-2-hdmi/p/itmc19f4000b0ac6?pid=TVSH9JPVG5GMH3WW&lid=LSTTVSH9JPVG5GMH3WWUGZEGS&marketplace=FLIPKART&q=tv&store=ckf%2Fczl&srno=s_1_6&otracker=search&otracker1=search&fm=organic&iid=56bf352f-d2cd-4c29-8823-a7a9b0c786c9.TVSH9JPVG5GMH3WW.SEARCH&ppt=None&ppn=None&ssid=mjfwq0p7wg0000001766485265967&qH=c9a1fdac6e082dd8
0-14999,Foxsky,Foxsky 60 cm (24 inch) HD Ready LED Smart Android TV 2025 Edition,24,2025,5499,9990,44% off,4.1,114572,2692,https://www.flipkart.com/foxsky-60-cm-24-inch-hd-ready-led-smart-android-tv-2025/p/itm52eaa7bfee654?pid=TVSH8GZGY8DAF3B6&lid=LSTTVSH8GZGY8DAF3B6PWFXH4&marketplace=FLIPKART&q=tv&store=ckf%2Fczl&srno=s_1_7&otracker=search&otracker1=search&fm=organic&iid=56bf352f-d2cd-4c29-8823-a7a9b0c786c9.TVSH8GZGY8DAF3B6.SEARCH&ppt=None&ppn=None&ssid=mjfwq0p7wg0000001766485265967&qH=c9a1fdac6e082dd8
0-14999,Thomson,Thomson 60 cm (24 inch) HD Ready LED TV 2025 Edition with 20W Sound Output | 2 Speakers | Wide View An...,24TM2490-25Launch,2025,5499,10499,47% off,4.1,131510,3653,https://www.flipkart.com/thomson-60-cm-24-inch-hd-ready-led-tv-2025-20w-sound-output-2-speakers-wide-view-angle-vivid-color-bezel-design-sports-mode/p/itmc9c41006b3eca?pid=TVSHBCC6SKFGHZNS&lid=LSTTVSHBCC6SKFGHZNSYZUMWO&marketplace=FLIPKART&q=tv&store=ckf%2Fczl&srno=s_1_8&otracker=search&otracker1=search&fm=organic&iid=56bf352f-d2cd-4c29-8823-a7a9b0c786c9.TVSHBCC6SKFGHZNS.SEARCH&ppt=None&ppn=None&ssid=mjfwq0p7wg0000001766485265967&qH=c9a1fdac6e082dd8
0-14999,InnoQ,InnoQ Sounbar 60 cm (24 inch) HD Ready LED Smart Android TV with 30W Front Boom Speakers | 1000+ Smart...,24S-SPECTRA-V2Launch,2024,5990,22990,73% off,4,411853,1207,https://www.flipkart.com/innoq-sounbar-60-cm-24-inch-hd-ready-led-smart-android-tv-30w-front-boom-speakers-1000-apps-mobile-screen-connect-wifi-games/p/itm7d7a91ccc00f8?pid=TVSH6QJYAP7EZ4YS&lid=LSTTVSH6QJYAP7EZ4YSJJCMVX&marketplace=FLIPKART&q=tv&store=ckf%2Fczl&srno=s_1_9&otracker=search&otracker1=search&fm=organic&iid=56bf352f-d2cd-4c29-8823-a7a9b0c786c9.TVSH6QJYAP7EZ4YS.SEARCH&ppt=None&ppn=None&ssid=mjfwq0p7wg0000001766485265967&qH=c9a1fdac6e082dd8
0-14999,IAIR,IAIR 60 cm (24 inch) HD Ready LED TV,IR2400NLaunch,2024,5999,15999,62% off,3.6,636,14,https://www.flipkart.com/iair-60-cm-24-inch-hd-ready-led-tv/p/itm9835d8ae72861?pid=TVSH5HWY9BCH8GMH&lid=LSTTVSH5HWY9BCH8GMHKRMVUE&marketplace=FLIPKART&q=tv&store=ckf%2Fczl&srno=s_1_10&otracker=search&otracker1=search&fm=organic&iid=56bf352f-d2cd-4c29-8823-a7a9b0c786c9.TVSH5HWY9BCH8GMH.SEARCH&ppt=None&ppn=None&ssid=mjfwq0p7wg0000001766485265967&qH=c9a1fdac6e082dd8
0-14999,Uniboom,Uniboom ULTIMA 60 cm (24 inch) HD Ready LED Smart Android TV 2025 Edition with 30W Sounbar Edition - A...,24S-ULTIMALaunch,2025,6290,22990,72% off,4,44029,430,https://www.flipkart.com/uniboom-ultima-60-cm-24-inch-hd-ready-led-smart-android-tv-2025-30w-sounbar-aura-vision-display-mobile-screen-cast-1000-apps-games/p/itm2523094fefb8c?pid=TVSH9JPVE333CQGK&lid=LSTTVSH9JPVE333CQGKCNOKQE&marketplace=FLIPKART&q=tv&store=ckf%2Fczl&srno=s_1_11&otracker=search&otracker1=search&fm=organic&iid=56bf352f-d2cd-4c29-8823-a7a9b0c786c9.TVSH9JPVE333CQGK.SEARCH&ppt=None&ppn=None&ssid=mjfwq0p7wg0000001766485265967&qH=c9a1fdac6e082dd8
